output,status,land,labor,labor_family,labor_hired,seed,urea,phosphate,pesticide,region
7980,owner,3,2915,40,2875,90,900,80,6000,wargabinangun
4083,owner,2,2155,45,2110,40,600,0,3000,wargabinangun
2650,owner,1,1075,95,980,100,700,150,5000,wargabinangun
4500,owner,2,2091,10,2081,60,600,100,5000,wargabinangun
16300,share,3.572,3889,1,3889,105,400,400,10200,wargabinangun
17424,share,3.572,3519,1,3519,105,400,400,10200,wargabinangun
3840,mixed,1.42,810,140,670,50,120,0,0,wargabinangun
2800,mixed,1.42,855,50,805,20,100,0,0,wargabinangun
950,mixed,0.428,460,80,380,15,150,50,900,wargabinangun
240,owner,0.214,109,69,40,7,50,0,0,wargabinangun
1500,share,0.428,230,20,210,15,100,50,2000,wargabinangun
2280,share,0.428,180,1,180,15,100,50,2000,wargabinangun
280,owner,0.1,118,108,10,5,20,0,0,wargabinangun
940,owner,0.286,163,63,100,10,75,0,0,wargabinangun
240,owner,0.07,80,57,23,10,15,0,0,wargabinangun
848,share,0.307,278,206,72,7,60,10,350,wargabinangun
480,owner,0.086,76,61,15,5,50,25,2000,wargabinangun
420,owner,0.086,54,39,15,5,40,10,500,wargabinangun
1200,owner,0.286,265,233,32,10,50,0,0,wargabinangun
960,owner,0.286,263,231,32,10,50,0,0,wargabinangun
360,owner,0.284,130,65,65,10,100,0,0,wargabinangun
720,owner,0.357,350,350,1,10,100,0,450,wargabinangun
1480,owner,0.357,178,178,1,10,100,50,1500,wargabinangun
1880,owner,0.357,92,92,1,10,100,90,0,wargabinangun
1240,mixed,0.286,206,133,73,5,25,0,0,wargabinangun
780,mixed,0.17,193,78,115,5,25,0,0,wargabinangun
1200,mixed,0.56,550,65,485,25,150,0,0,wargabinangun
750,owner,0.286,130,55,75,5,50,0,0,wargabinangun
3000,owner,0.357,176,140,36,20,150,100,4800,wargabinangun
2400,owner,0.357,120,85,35,12,150,100,4150,wargabinangun
887,share,0.18,156,126,30,5,100,0,0,wargabinangun
1553,share,0.36,262,212,50,10,75,0,0,wargabinangun
716,share,0.355,452,304,148,20,40,0,0,wargabinangun
480,share,0.14,166,110,56,10,40,0,0,wargabinangun
300,share,0.052,98,94,4,4,30,0,1200,wargabinangun
200,share,0.052,46,46,1,4,30,0,1200,wargabinangun
1080,owner,0.27,384,284,100,10,75,25,300,wargabinangun
1260,owner,0.27,254,204,50,10,60,10,300,wargabinangun
1200,owner,0.28,383,81,302,20,100,20,650,wargabinangun
600,owner,0.286,380,85,295,10,60,10,1920,wargabinangun
960,owner,0.179,292,177,115,10,125,50,1600,wargabinangun
1200,owner,0.129,203,113,90,7,100,25,900,wargabinangun
2100,share,0.714,407,182,225,20,50,0,0,wargabinangun
1867,share,0.714,580,190,390,30,80,0,0,wargabinangun
1200,share,0.355,239,209,30,15,75,0,0,wargabinangun
1200,mixed,0.571,216,116,100,15,100,0,0,wargabinangun
480,owner,0.086,108,88,20,7,25,10,0,wargabinangun
280,owner,0.082,76,56,20,10,5,1,0,wargabinangun
600,owner,0.18,136,35,101,7,40,0,0,wargabinangun
3000,owner,0.888,565,55,510,35,70,0,0,wargabinangun
840,owner,0.377,367,207,160,12,150,0,0,wargabinangun
660,owner,0.371,170,60,110,25,100,10,500,wargabinangun
2700,owner,0.681,213,103,110,10,100,50,2000,wargabinangun
1925,owner,0.281,148,98,50,10,100,50,0,wargabinangun
250,share,0.071,110,60,50,5,35,0,0,wargabinangun
220,share,0.071,130,80,50,5,35,0,0,wargabinangun
480,share,0.142,149,5,144,6,65,0,0,wargabinangun
360,owner,0.143,156,86,70,10,30,0,0,wargabinangun
600,owner,0.129,99,91,8,5,50,25,2325,wargabinangun
600,owner,0.129,86,78,8,5,50,25,2325,wargabinangun
940,owner,0.357,399,89,310,10,100,50,0,wargabinangun
920,owner,0.357,429,199,230,10,100,50,0,wargabinangun
550,owner,0.355,273,44,229,10,100,0,0,wargabinangun
540,owner,0.357,120,58,62,15,90,0,0,wargabinangun
725,owner,0.157,135,135,1,5,50,50,1000,wargabinangun
800,owner,0.157,109,109,1,5,50,25,0,wargabinangun
1600,share,0.714,530,20,510,30,150,50,0,wargabinangun
1800,share,0.714,650,40,610,30,150,50,0,wargabinangun
840,share,0.286,270,10,260,15,100,20,0,wargabinangun
600,owner,0.357,228,20,208,15,75,25,650,wargabinangun
1800,owner,0.357,265,30,235,10,150,50,4000,wargabinangun
1600,owner,0.357,215,15,200,10,150,50,5000,wargabinangun
1500,owner,0.714,483,58,425,20,100,0,0,wargabinangun
1600,owner,0.714,438,53,385,20,100,0,0,wargabinangun
840,owner,0.355,450,20,430,25,25,5,0,wargabinangun
800,owner,0.536,471,91,380,20,200,0,0,wargabinangun
3000,owner,0.643,480,180,300,16,150,50,0,wargabinangun
2800,owner,0.643,375,44,331,16,150,50,0,wargabinangun
960,share,0.357,380,75,305,20,50,10,0,wargabinangun
1800,share,0.357,345,65,280,20,100,50,0,wargabinangun
960,share,0.357,340,35,305,15,100,50,1200,wargabinangun
1400,share,0.5,313,43,270,13,100,50,2000,wargabinangun
5800,owner,1.428,1185,131,1054,60,350,150,12600,wargabinangun
4600,owner,1.428,762,103,659,60,350,150,12600,wargabinangun
3600,owner,1.071,1110,55,1055,50,250,50,1500,wargabinangun
3240,owner,1.071,1305,65,1240,50,250,50,1500,wargabinangun
360,owner,0.179,98,54,44,5,50,20,0,wargabinangun
300,owner,0.09,86,66,20,4,10,0,0,wargabinangun
300,owner,0,132,132,1,2,10,15,0,wargabinangun
200,owner,0,80,80,1,5,10,15,0,wargabinangun
1800,owner,1.286,635,136,499,40,100,0,0,wargabinangun
2800,owner,1.286,448,117,331,40,150,0,0,wargabinangun
1200,owner,0.533,345,55,290,30,125,50,0,wargabinangun
560,owner,0.355,232,82,150,15,125,25,600,wargabinangun
2400,owner,0.571,444,384,60,50,150,50,4800,wargabinangun
2400,owner,0.571,222,178,44,30,150,50,4000,wargabinangun
900,owner,0.357,332,107,225,15,15,0,0,wargabinangun
1800,owner,0.714,377,127,250,15,25,0,0,wargabinangun
1500,owner,1.065,905,380,525,30,250,0,0,wargabinangun
3600,owner,1.071,302,52,250,40,300,0,0,wargabinangun
2160,owner,0.535,418,112,306,15,150,50,3000,wargabinangun
2300,owner,0.535,450,234,216,15,150,50,3000,wargabinangun
940,share,0.357,317,57,260,15,75,0,0,wargabinangun
920,share,0.357,185,55,130,15,75,0,0,wargabinangun
560,share,0.357,325,90,235,20,20,0,0,wargabinangun
400,owner,0.357,160,10,150,20,50,0,0,wargabinangun
2600,share,0.357,384,119,265,14,70,50,1600,wargabinangun
720,share,0.357,185,1,185,14,100,50,1600,wargabinangun
11667,owner,3.57,3410,140,3270,100,1250,250,0,wargabinangun
11667,owner,3.57,1760,140,1620,1250,1250,250,0,wargabinangun
12000,owner,5,2775,125,2650,100,1000,0,0,wargabinangun
5000,mixed,3.571,1550,1,1550,125,700,300,9000,wargabinangun
4200,owner,0.714,593,45,548,25,200,100,3000,wargabinangun
4200,owner,0.714,495,47,448,25,200,100,3000,wargabinangun
1800,owner,0.56,266,73,193,20,75,25,0,langan
1600,owner,0.56,154,84,70,20,50,0,0,langan
750,owner,0.357,456,376,80,20,75,25,0,langan
2000,share,1,456,56,400,30,200,0,0,langan
3660,mixed,0.714,410,120,290,50,100,100,1200,langan
2400,mixed,0.714,242,124,118,50,100,100,1200,langan
2220,owner,0.577,543,193,350,40,150,25,0,langan
1752,owner,0.577,241,173,68,30,1,0,0,langan
870,owner,0.5,324,48,276,25,125,25,2100,langan
975,owner,0.5,386,286,100,15,150,50,650,langan
4320,owner,0.5,430,190,240,30,100,100,2000,langan
1880,owner,0.5,312,224,88,30,50,50,0,langan
2700,owner,0.5,315,83,232,30,75,25,0,langan
1800,owner,0.5,567,440,127,15,50,0,0,langan
460,owner,0.357,200,40,160,15,100,25,0,langan
1800,owner,0.5,269,29,240,25,50,0,0,langan
3600,owner,0.714,520,40,480,60,475,50,3000,langan
1400,owner,0.357,196,24,172,30,200,25,1500,langan
840,owner,0.21,191,165,26,8,100,25,500,langan
480,owner,0.21,205,175,30,8,20,0,0,langan
180,owner,0.214,116,96,20,10,15,0,0,langan
350,owner,0.286,331,277,54,6,1,0,0,langan
1800,owner,0.357,228,113,115,20,75,0,1000,langan
1300,owner,0.357,190,70,120,15,50,0,0,langan
14400,owner,5.322,4774,238,4536,310,450,75,75,langan
6010,owner,2.898,2012,134,1878,160,300,50,500,langan
4620,owner,2.923,2782,584,2198,174,750,150,2400,langan
7920,owner,2.13,2406,195,2211,100,150,0,0,langan
6840,owner,1.286,1100,730,370,95,600,200,2000,langan
1250,owner,0.357,182,182,1,15,20,5,0,langan
7000,owner,1.82,1483,120,1363,115,480,95,0,langan
2160,owner,1.47,661,92,569,45,190,35,0,langan
3480,owner,2.1,2568,48,2520,40,225,25,1500,langan
3000,owner,1.429,603,43,560,50,150,50,0,langan
20960,owner,3.929,3450,592,2858,138,800,700,7500,langan
6000,owner,1.786,1096,256,840,63,250,0,0,langan
350,owner,0.06,90,84,6,5,40,10,0,langan
190,owner,0.06,133,118,15,8,25,0,0,langan
300,owner,0.07,135,135,1,2,25,0,0,langan
240,owner,0.071,82,66,16,3,20,2,1000,langan
10800,mixed,2.493,1628,728,900,95,550,300,10500,langan
5760,mixed,1.714,764,476,288,65,375,125,7200,langan
4800,owner,1.356,713,426,287,75,150,0,0,langan
1440,owner,0.638,369,271,98,25,100,0,0,langan
975,owner,0.572,334,110,224,25,150,50,1500,langan
600,owner,0.285,185,185,1,25,1,0,0,langan
3600,owner,1,696,592,104,70,250,50,1500,langan
3800,owner,1,530,530,1,30,150,50,0,langan
1500,owner,0.496,428,366,62,20,120,10,0,langan
600,owner,0.286,177,177,1,10,1,0,0,langan
800,owner,0.357,392,352,40,18,150,50,0,langan
250,owner,0.098,110,94,16,6,25,0,0,langan
700,owner,0.143,162,82,80,25,25,25,1500,langan
480,owner,0.143,153,82,71,10,25,25,1500,langan
15000,owner,3.5,4213,1364,2849,140,700,200,310,langan
2400,owner,1,357,196,161,30,200,0,2000,langan
12100,owner,3.59,3836,1462,2374,210,1000,100,3200,langan
3500,owner,0.84,348,193,155,30,200,25,0,langan
12000,owner,3,2337,1526,811,160,900,100,4400,langan
9000,owner,3,2250,980,1270,90,600,100,2600,langan
1200,owner,0.28,297,10,287,12,60,10,200,langan
360,owner,0.28,132,12,120,8,25,0,0,langan
420,owner,0.2,131,85,46,12,80,20,0,langan
420,owner,0.28,130,29,101,8,75,0,0,langan
900,share,0.2,251,216,35,16,75,25,1200,langan
480,owner,0.2,197,162,35,16,25,0,600,langan
6000,owner,1,896,91,805,75,250,50,800,langan
3600,owner,1,559,69,490,70,200,50,0,langan
1200,owner,1,576,48,528,20,300,100,300,langan
3600,owner,1,377,68,309,40,300,100,1800,langan
8400,owner,1.571,1224,130,1094,50,500,100,8000,langan
6600,owner,1.571,600,45,555,40,350,150,7500,langan
1200,owner,0.286,292,35,257,10,50,10,0,langan
1080,owner,0.286,207,18,189,10,25,0,0,langan
260,owner,0.142,148,72,76,10,50,0,0,langan
350,owner,0.28,185,114,71,8,10,0,0,langan
640,owner,0.143,124,68,56,8,51,25,1800,langan
360,owner,0.143,102,70,32,5,25,25,1800,langan
2040,owner,0.772,612,193,419,30,50,10,0,langan
664,owner,0.352,287,245,42,10,25,0,0,langan
1420,owner,0.858,516,468,48,60,100,40,0,langan
390,owner,0.357,132,132,1,12,30,0,0,langan
2400,owner,0.572,872,548,224,82,150,68,900,langan
1800,owner,0.572,396,300,96,20,110,40,1000,langan
420,owner,0.11,106,76,30,3,40,0,0,langan
300,owner,0.11,77,42,35,3,40,0,0,langan
300,owner,0.214,116,36,80,5,50,10,0,langan
280,owner,0.143,243,213,30,5,25,0,0,langan
360,owner,0.071,112,8,104,7,50,20,2500,langan
300,owner,0.071,63,11,52,5,25,10,0,langan
950,mixed,0.429,227,171,56,14,90,10,900,langan
840,mixed,0.286,102,75,27,9,40,0,0,langan
1350,mixed,0.965,488,344,144,40,225,100,200,langan
960,owner,0.286,185,147,38,10,100,50,150,langan
3800,owner,0.714,687,300,387,22,125,125,1800,langan
3240,owner,0.964,401,297,104,28,200,200,2700,langan
10200,owner,4.07,3124,1080,2044,250,600,0,0,langan
600,owner,0.143,119,94,25,3,25,0,0,langan
4900,owner,3.643,2931,851,2080,200,400,0,0,langan
840,owner,0.286,190,58,132,10,75,0,0,langan
1440,owner,0.286,160,52,108,25,100,50,0,langan
960,owner,0.286,151,32,119,12,70,45,0,langan
3150,owner,1.143,942,726,216,40,1,0,0,langan
225,owner,0.143,95,81,14,2,1,0,0,langan
900,owner,0.5,448,448,1,20,1,0,0,langan
270,owner,0.143,245,229,16,10,25,0,0,langan
4800,share,0.714,384,160,224,84,150,50,3000,langan
1680,share,0.429,232,152,80,40,150,50,0,langan
1205,owner,0.636,357,239,118,15,20,0,0,langan
210,owner,0.143,83,75,8,3,10,0,0,langan
800,owner,0.5,436,246,140,15,100,0,0,langan
550,owner,0.143,349,298,51,15,100,0,0,langan
980,owner,0.214,120,88,32,5,40,10,1500,langan
360,owner,0.214,80,80,1,4,25,5,0,langan
1500,owner,0.286,198,114,84,8,100,12,200,langan
480,owner,0.286,156,86,70,9,10,0,0,langan
540,owner,0.286,224,199,25,10,100,25,200,langan
960,owner,0.286,306,261,45,12,50,10,0,langan
4440,owner,0.786,468,348,120,30,300,100,10900,langan
840,owner,0.286,152,104,48,10,100,50,2000,langan
4560,mixed,1.28,699,249,450,58,220,75,0,langan
2340,mixed,1.28,402,166,236,30,100,0,0,langan
1280,mixed,0.714,552,88,464,15,250,50,0,langan
1800,owner,0.71,428,104,324,20,150,50,0,langan
4200,owner,0.714,426,186,240,60,300,50,1000,langan
2400,owner,0.714,516,164,352,40,100,100,1500,langan
240,owner,0.064,87,79,8,7,20,0,0,langan
216,owner,0.064,57,49,8,6,10,0,0,langan
400,owner,0.28,250,169,81,18,60,0,0,langan
450,owner,0.128,118,108,10,9,50,25,0,langan
720,owner,0.057,100,74,26,13,50,50,1000,langan
360,owner,0.057,125,109,16,5,50,50,0,langan
1200,owner,0.28,219,29,190,10,80,25,0,langan
660,owner,0.28,197,3,194,10,40,0,0,langan
620,owner,0.357,252,16,236,18,50,25,0,langan
600,owner,0.357,334,74,260,20,100,0,0,langan
3000,owner,1.429,982,98,884,40,250,50,3000,langan
4400,owner,1.429,870,50,820,20,150,50,0,langan
260,owner,0.07,90,90,1,3,20,0,0,langan
120,owner,0.07,46,46,1,3,10,0,0,langan
375,owner,0.142,126,126,1,6,30,0,0,langan
130,owner,0.071,97,97,1,5,7,3,0,langan
1200,owner,0.357,384,384,1,25,75,25,0,langan
960,owner,0.357,224,224,1,6,25,3,0,langan
350,owner,0.14,170,85,85,6,25,5,250,gunungwangi
372,owner,0.14,170,85,85,6,25,5,250,gunungwangi
280,owner,0.15,176,16,160,5,25,5,70,gunungwangi
380,owner,0.15,157,52,105,6,25,10,300,gunungwangi
1760,owner,0.429,541,156,385,19,150,50,300,gunungwangi
1900,owner,0.429,581,156,425,19,150,50,500,gunungwangi
370,owner,0.18,106,21,85,5,20,20,0,gunungwangi
205,owner,0.18,120,21,99,5,20,20,0,gunungwangi
276,owner,0.08,86,16,70,4,15,0,0,gunungwangi
135,owner,0.086,91,48,43,5,15,5,0,gunungwangi
82,owner,0.074,40,32,8,1,5,5,0,gunungwangi
42,owner,0,17,17,1,1,5,5,0,gunungwangi
419,owner,0.185,90,24,66,7,15,0,0,gunungwangi
349,owner,0.175,90,24,66,65,15,0,0,gunungwangi
425,owner,0.12,116,36,80,3,20,5,0,gunungwangi
350,owner,0.08,182,63,119,3,20,0,0,gunungwangi
352,share,0.179,132,102,30,5,40,0,0,gunungwangi
493,share,0.179,126,96,30,5,40,0,0,gunungwangi
2405,mixed,0.571,435,140,295,18,200,25,0,gunungwangi
2405,mixed,0.571,647,320,327,18,200,25,0,gunungwangi
1760,mixed,0.57,1186,126,1060,25,150,25,750,gunungwangi
1468,owner,0.7,564,144,420,25,150,55,0,gunungwangi
4506,owner,1.663,1345,394,951,44,670,270,0,gunungwangi
4666,owner,1.663,1479,528,951,44,670,276,0,gunungwangi
1237,mixed,0.5,306,98,208,8,100,20,0,gunungwangi
1375,mixed,0.5,307,169,138,8,100,20,0,gunungwangi
1830,mixed,0.575,543,148,395,12,165,60,0,gunungwangi
600,owner,0.375,396,151,245,10,75,25,0,gunungwangi
1225,owner,0.42,602,348,254,14,100,50,0,gunungwangi
1619,owner,0.42,695,441,254,18,100,50,0,gunungwangi
1151,owner,0.36,266,158,108,10,75,25,0,gunungwangi
1012,owner,0.36,266,158,108,10,75,25,0,gunungwangi
210,owner,0,47,47,1,5,25,25,0,gunungwangi
391,owner,0.179,111,61,50,8,20,15,0,gunungwangi
457,mixed,0.193,305,236,69,10,70,35,0,gunungwangi
559,mixed,0.193,280,231,49,10,70,35,0,gunungwangi
1971,owner,0.92,642,55,587,30,300,100,1000,gunungwangi
2288,owner,0.92,742,55,687,30,300,100,1000,gunungwangi
1060,owner,0.375,175,35,140,6,75,25,450,gunungwangi
1200,owner,0.535,383,90,293,7,70,30,500,gunungwangi
1705,owner,0.519,407,104,303,25,155,30,0,gunungwangi
1978,owner,0.604,433,103,330,25,155,30,0,gunungwangi
988,owner,0.3,355,255,100,6,20,5,0,gunungwangi
320,owner,0.3,355,255,100,6,20,5,0,gunungwangi
428,owner,0.15,216,216,1,5,45,20,0,gunungwangi
195,owner,0.05,123,123,1,3,6,4,0,gunungwangi
102,owner,0,40,35,5,1,8,2,0,gunungwangi
115,owner,0,40,35,5,1,8,2,0,gunungwangi
2065,mixed,0.7,389,129,260,16,50,25,800,gunungwangi
2065,mixed,0.7,419,129,290,16,50,25,800,gunungwangi
1060,mixed,0.39,275,125,150,15,60,15,0,gunungwangi
645,owner,0.5,203,93,110,7,50,15,0,gunungwangi
2176,owner,0.51,316,136,180,15,100,50,0,gunungwangi
2528,owner,0.51,381,151,230,15,100,50,0,gunungwangi
1302,mixed,0.71,458,98,360,18,150,55,0,gunungwangi
1302,mixed,0.71,453,75,378,18,150,50,0,gunungwangi
1126,mixed,0.385,224,68,156,10,65,20,0,gunungwangi
473,owner,0.75,240,78,162,12,75,25,0,gunungwangi
1302,owner,0.557,307,82,225,18,115,15,0,gunungwangi
1092,owner,0.557,547,82,465,18,115,15,0,gunungwangi
704,owner,0.35,256,8,248,7,75,25,1000,gunungwangi
1056,owner,0.35,266,8,258,7,75,25,1000,gunungwangi
71,owner,0,25,25,1,2,5,2,0,gunungwangi
886,owner,0.282,431,66,365,12,30,10,0,gunungwangi
146,owner,0.073,94,37,57,2,12,3,0,gunungwangi
141,owner,0,122,37,85,2,12,3,0,gunungwangi
447,mixed,0.18,153,95,58,7,65,20,680,gunungwangi
550,mixed,0.18,188,140,48,7,65,20,680,gunungwangi
477,mixed,0.193,114,90,24,7,50,10,0,gunungwangi
996,owner,0.193,235,90,145,9,50,20,0,gunungwangi
160,owner,0.149,109,109,1,2,5,2,0,gunungwangi
138,owner,0,136,136,1,2,5,2,0,gunungwangi
470,owner,0.179,102,102,1,4,25,0,0,gunungwangi
413,owner,0.179,137,137,1,4,25,0,0,gunungwangi
528,owner,0.179,184,184,1,8,25,0,0,gunungwangi
